Tiempo,Corriente,Temperatura
387.5401674,0.0424807146,25.88
388.5597622,0.0424820818,25.86
389.5790031,0.0424821227,25.8
390.5984101,0.0424819365,25.82
391.6179461,0.0424820594,25.8
392.6374138,0.042480126,25.88
393.6571375,0.0424793027,25.86
394.7202274,0.0424818396,25.8
395.7404316,0.0424781627,25.82
396.7604166,0.0424803718,25.82
397.8349513,0.0424775779,25.88
398.8543522,0.0424759611,25.86
399.8735556,0.0424768067,25.88
400.8929236,0.0424787178,25.92
401.9118199,0.0424805842,25.88
402.9975338,0.042478878,25.92
404.0174718,0.0424793697,25.82
405.037432,0.0424794293,25.88
406.1130337,0.0424788892,25.88
407.1325461,0.042479813,25.92
408.152284,0.0424817688,25.88
409.1721562,0.04248216,25.76
410.1934386,0.0424800887,25.82
411.2128539,0.0424778051,25.82
412.2321608,0.0424743406,25.82
413.2521533,0.042473711,25.93
414.35689,0.0424726232,25.83
415.3761041,0.0424727834,25.88
416.3958711,0.0424746833,25.94
417.4760675,0.0424735806,25.88
418.4951576,0.0424748994,25.91
419.5150665,0.042477522,25.89
420.5354038,0.0424739047,25.91
421.555741,0.0424757301,25.85
422.5752172,0.0424758829,25.86
423.6756377,0.0424732789,25.82
424.6949705,0.0424756631,25.86
425.7147988,0.0424796044,25.92
426.7341842,0.0424771606,25.94
427.7539981,0.042475298,25.89
428.7735294,0.0424742586,25.94
429.8213624,0.0424724183,25.87
430.841257,0.042471677,25.94
431.8811644,0.0424781255,25.83
432.900597,0.0424763746,25.82
433.9530934,0.0424799025,25.92
434.971957,0.0424840562,25.86
435.9918709,0.0424782745,25.86
437.0108831,0.0424767322,25.82
438.032306,0.0424729548,25.94
439.0543519,0.0424696728,26.01
440.0756066,0.0424589067,25.87
441.095313,0.0424532964,25.94
442.1149862,0.0424522645,25.87
443.1345497,0.0424498207,25.94
444.2951457,0.0424591265,25.87
445.3160464,0.0424615815,25.94
446.3355498,0.0424624606,25.89
447.3552436,0.0424557961,26.04
448.3764937,0.0424556434,25.93
449.3963168,0.0424556136,25.98
450.4312476,0.0424521118,25.95
451.4501913,0.0424505062,25.93
452.4694288,0.0424493402,25.94
453.4884999,0.0424480065,25.93
454.5273731,0.042448692,25.94
455.5482686,0.0424466505,25.99
456.5679691,0.0424462705,25.95
457.5875521,0.0424470715,25.95
458.6090666,0.042446766,26.01
459.6895844,0.0424450859,25.95
460.7091369,0.042444963,25.99
461.728994,0.0424396134,25.99
462.8135283,0.0424383841,26.01
463.83369,0.0424395725,25.99
464.8530962,0.0424394831,25.89
465.9651269,0.0424422472,26
466.9851296,0.0424440614,26.05
468.0050314,0.0424484573,26.07
469.0256534,0.0424520187,26.01
470.044957,0.0424522757,25.95
471.0643791,0.0424459092,25.99
472.0929702,0.0424493886,25.93
473.1123111,0.0424445457,26
474.1322761,0.0424437932,25.93
475.2125768,0.0424446351,25.86
476.232727,0.0424462594,25.88
477.2528341,0.0424449294,26
478.3815218,0.0424424782,25.89
479.4014285,0.0424427054,25.92
480.4208335,0.0424410514,25.94
481.4408393,0.0424383394,25.95
482.4604539,0.0424365885,25.93
483.4812511,0.0424311868,26
484.5011822,0.0424290932,26.05
485.5209555,0.0424243025,25.95
486.6145593,0.0424208194,25.99
487.6339704,0.0424174591,25.95
488.6533539,0.0424151383,26.01
489.6734575,0.0424121506,25.95
490.6927444,0.0424125008,26.05
491.7127257,0.0424112044,26.01
492.7347199,0.0424064248,26.01
493.7552338,0.0424047298,26.01
494.77606,0.042402368,25.93
495.7949358,0.042399574,26
496.8148783,0.0423999652,26.01
497.8347734,0.0424057319,25.93
498.8804511,0.0424031987,25.92
499.899159,0.0423971377,26.04
500.9197105,0.0423922464,25.93
502.0118919,0.0423986874,26
503.0318515,0.0424018464,25.95
504.0524742,0.0423994287,26.01
505.0719541,0.0424021482,26.07
506.0909264,0.0424025729,25.95
507.1107763,0.0424040034,25.95
508.150884,0.0424084924,26.05
509.1705216,0.0424080602,25.96
510.1894693,0.0424003414,26.01
511.2778149,0.0424000285,26
512.2977299,0.0423976182,25.95
513.3171455,0.042397622,26.09
514.3361548,0.0423954427,26.11
515.3561714,0.042394977,25.97
516.3754629,0.0423945784,26.01
517.4243677,0.0424065552,26.05
518.4435345,0.0424114353,26.05
519.4629596,0.0424117743,26.03
520.5565482,0.0424111932,26.03
521.5758796,0.0424128063,26.01
522.5960607,0.0424157157,26.05
523.6159087,0.0424148216,26.07
524.6357139,0.0424162968,25.99
525.6556803,0.0424128957,25.95
526.6768983,0.0424167886,25.99
527.6963977,0.0424184203,25.99
528.7170378,0.0424177013,26.07
529.798486,0.0424204543,26.01
530.8179827,0.0424201115,26.07
531.837065,0.0424212478,26.11
532.8569809,0.0424149371,26.01
533.8767812,0.0424137935,26.13
534.8969792,0.0424133315,26.01
535.9192694,0.0424125231,25.99
536.9392162,0.0424126572,25.99
537.9592241,0.0424142703,26.07
539.0555769,0.0424119159,26.01
540.075586,0.04241167,26.01
541.0949841,0.0424083657,26.01
542.115004,0.0424086935,26.01
543.1345518,0.0424108691,25.99
544.1543992,0.042408932,26.05
545.1831786,0.0424030385,26.07
546.2029955,0.0424023941,25.95
547.2227112,0.0424020066,26.05
548.3763831,0.0423999615,25.99
549.39611,0.0423958301,25.99
550.4161144,0.0423959046,26.01
551.4355809,0.0423986464,26.01
552.4547729,0.04239792,26.01
553.4754774,0.0423935316,25.99
554.4952796,0.0423969402,26.07
555.5150285,0.0423930473,26.01
556.536323,0.0423913225,25.99
557.5569515,0.0423929691,26.07
558.5770836,0.0423928089,26.17
559.5966542,0.0423888303,26.08
560.6166165,0.0423889532,25.95
561.6355732,0.0423867776,26.01
562.6560223,0.0423879325,26.07
563.6779654,0.0423891954,26.07
564.6978158,0.0423850566,26.05
565.7169726,0.0423848964,25.99
566.7365989,0.0423808544,25.99
567.756006,0.0423803329,26.07
568.7750565,0.0423771515,26.01
569.8099382,0.0423803888,26.07
570.8306008,0.0423827953,25.99
571.8507683,0.0423857122,26.07
572.93719,0.0423875115,25.99
573.9571214,0.0423891916,26.01
574.9764798,0.0423899143,25.99
575.9960505,0.0423882007,25.99
577.016739,0.0423905588,25.99
578.0432343,0.0423887483,25.99
579.0670748,0.0423915646,26.01
580.0866964,0.0423940531,26.01
581.1064722,0.042393215,26.01
582.1265917,0.0423979349,26.13
583.145586,0.0424014776,26.05
584.1659306,0.0424025207,26.13
585.2461645,0.0424049459,26.17
586.2658,0.0424085929,26.02
587.285353,0.0424117073,26.11
588.3045059,0.0424115136,26.05
589.3249993,0.0424144268,26.01
590.3451997,0.0424170158,26.07
591.4350803,0.0424104966,26.07
592.4542992,0.0424122288,26.11
593.4736201,0.0424104072,26.07
594.4935397,0.0424089841,26.07
595.5129346,0.0424085855,25.99
596.5327927,0.0424131676,26.07
597.5682976,0.0424094647,26.13
598.5890207,0.0424076505,26.05
599.6098074,0.0424105711,26.01
600.6919081,0.0424068272,26.17
601.7117021,0.042408701,26.06
602.7310688,0.0424014329,26.17
603.7502777,0.0423979498,26.06
604.76977,0.0424003116,26.07
605.7895659,0.0423984713,26.13
606.8453018,0.0423981174,26.01
607.8651773,0.0423941127,26.07
608.8849961,0.0423897169,26.13
609.904899,0.042386204,26.17
610.9244633,0.0423808209,26.2
611.9434754,0.0423793308,26.08
612.9709857,0.0423804409,26.07
613.9909739,0.0423794016,26.11
615.0107496,0.0423757955,26.13
616.0940644,0.0423734001,26.11
617.1139297,0.0423689931,26.07
618.1343433,0.0423645488,26.17
619.1555329,0.0423666723,26.12
620.1758007,0.0423699319,26.11
621.1950461,0.0423685759,26.07
622.2154605,0.0423670634,26.11
623.2351723,0.0423670895,26.11
624.2552934,0.0423707962,26.11
625.3550946,0.0423688143,26.07
626.3743648,0.0423701442,26.11
627.3951538,0.042376358,26.11
628.4513635,0.0423758774,26.07
629.4706958,0.0423757955,26.05
630.4900675,0.042371951,26.11
631.5100341,0.0423766821,26.19
632.529802,0.0423808284,26.12
633.5501836,0.0423814468,26.07
634.5709002,0.0423858091,26.07
635.5921289,0.0423839949,26.07
636.6125505,0.0423827357,26.17
637.6921187,0.0423830524,26.12
638.713131,0.0423820316,26.13
639.7330393,0.0423827059,26.07
640.8071928,0.042380955,26.11
641.8267264,0.0423845611,26.11
642.8476322,0.0423858314,26.07
643.8665854,0.0423880293,26.07
644.8860272,0.0423878505,26.13
645.9056143,0.0423884876,26.07
