,INTENSIDAD,,,,,,TRANSMITANCIA,,
Longitud de Onda,Hg-Lamp,,Cristal Chico,,Cristal Gde,,Chico,,Gde.
,,,,,,,,,
737.16,71.67,,73.29,,81.13,,102.26036,,113.1993861
737.92,331.67,,341.29,,354.13,,102.9004734,,106.7717912
738.67,1902.67,,1938.29,,2005.13,,101.872106,,105.3850641
739.43,1525.67,,1544.29,,1586.13,,101.2204474,,103.9628491
740.18,294.67,,301.29,,307.13,,102.2465809,,104.228459
740.94,82.67,,89.29,,90.13,,108.0077416,,109.0238297
741.69,52.67,,47.29,,55.13,,89.78545662,,104.6705905
742.45,39.67,,43.29,,43.13,,109.1252836,,108.7219561
743.2,39.67,,41.29,,44.13,,104.0836904,,111.2427527
743.96,44.67,,48.29,,49.13,,108.1038728,,109.9843295
744.71,47.67,,47.29,,47.13,,99.20285295,,98.86721208
745.47,48.67,,51.29,,54.13,,105.3831929,,111.2184097
746.22,60.67,,64.29,,66.13,,105.9667051,,108.9995055
746.97,71.67,,72.29,,76.13,,100.865076,,106.2229664
747.73,88.67,,89.29,,96.13,,100.6992218,,108.4132175
748.48,117.67,,121.29,,129.13,,103.0764001,,109.7391009
749.24,247.67,,269.29,,280.13,,108.7293576,,113.1061493
749.99,1489.67,,1564.29,,1631.13,,105.0091631,,109.4960629
750.75,7930.67,,7979.29,,8228.13,,100.613063,,103.750755
751.5,6143.67,,6159.29,,6348.13,,100.2542454,,103.3279782
752.25,3091.67,,3069.29,,3179.13,,99.27611938,,102.8288918
753.01,761.67,,766.29,,782.13,,100.6065619,,102.6862027
753.76,217.67,,233.29,,244.13,,107.1760004,,112.156016
754.51,112.67,,119.29,,119.13,,105.8755658,,105.7335582
755.27,80.67,,78.29,,84.13,,97.04970869,,104.289079
756.02,59.67,,63.29,,65.13,,106.0667002,,109.1503268
756.78,55.67,,60.29,,61.13,,108.2989043,,109.8077959
757.53,57.67,,59.29,,61.13,,102.8090862,,105.9996532
758.28,61.67,,65.29,,62.13,,105.869953,,100.7459056
759.04,72.67,,75.29,,77.13,,103.6053392,,106.1373331
759.79,77.67,,83.29,,81.13,,107.235741,,104.4547444
760.54,97.67,,101.29,,105.13,,103.7063581,,107.6379646
761.29,127.67,,134.29,,133.13,,105.1852432,,104.2766507
762.05,209.67,,224.29,,225.13,,106.9728621,,107.3734917
762.8,784.67,,817.29,,853.13,,104.1571616,,108.7246868
763.55,6351.67,,6522.29,,6722.13,,102.6862227,,105.8324819
764.31,9916.67,,9757.29,,10040.13,,98.39280726,,101.2449744
765.06,2310.67,,2278.29,,2377.13,,98.59867484,,102.876222
765.81,506.67,,520.29,,533.13,,102.6881402,,105.2223341
766.56,204.67,,206.29,,215.13,,100.7915181,,105.110666
767.32,125.67,,128.29,,137.13,,102.0848253,,109.1191215
768.07,94.67,,101.29,,107.13,,106.9927115,,113.1615084
768.82,75.67,,85.29,,85.13,,112.7130963,,112.5016519
769.57,80.67,,77.29,,88.13,,95.81009049,,109.2475518
770.32,92.67,,95.29,,101.13,,102.8272364,,109.129168
771.08,149.67,,162.29,,164.13,,108.4318835,,109.6612548
771.83,593.67,,622.29,,643.13,,104.8208601,,108.3312278
772.58,4117.67,,4161.29,,4334.13,,101.059337,,105.2568564
773.33,4340.67,,4251.29,,4377.13,,97.94087088,,100.8399625
774.08,909.67,,907.29,,950.13,,99.73836666,,104.4477668
774.83,225.67,,235.29,,245.13,,104.2628617,,108.6232109
775.59,102.67,,101.29,,109.13,,98.6558878,,106.2920035
776.34,59.67,,65.29,,67.13,,109.4184682,,112.5020949
777.09,41.67,,47.29,,45.13,,113.486921,,108.3033357
777.84,33.67,,33.29,,33.13,,98.87139887,,98.3961984
778.59,27.67,,30.29,,29.13,,109.4687387,,105.2764727
779.34,25.67,,23.29,,27.13,,90.72847682,,105.687573
780.09,24.67,,25.29,,25.13,,102.5131739,,101.8646129
780.84,22.67,,19.29,,23.13,,85.09042788,,102.0291134
781.6,18.67,,20.29,,19.13,,108.677022,,102.4638457
782.35,21.67,,20.29,,23.13,,93.63174896,,106.737425
783.1,20.67,,20.29,,20.13,,98.16158684,,97.38751814
783.85,18.67,,17.29,,19.13,,92.60846277,,102.4638457
784.6,17.67,,18.29,,17.13,,103.5087719,,96.94397284
785.35,17.67,,19.29,,21.13,,109.1680815,,119.5812111
786.1,17.67,,14.29,,18.13,,80.87153367,,102.6032824
786.85,16.67,,19.29,,18.13,,115.7168566,,108.7582484
787.6,16.67,,20.29,,21.13,,121.7156569,,126.7546491
788.35,18.67,,21.29,,21.13,,114.0332084,,113.1762185
789.1,24.67,,22.29,,27.13,,90.35265505,,109.9716255
789.85,30.67,,32.29,,31.13,,105.2820346,,101.499837
790.6,29.67,,35.29,,34.13,,118.9416919,,115.0320189
791.35,33.67,,35.29,,35.13,,104.8114048,,104.3362043
792.1,41.67,,43.29,,43.13,,103.887689,,103.5037197
792.85,56.67,,54.29,,56.13,,95.80024704,,99.04711488
793.6,94.67,,98.29,,103.13,,103.823809,,108.9363051
794.35,411.67,,427.29,,453.13,,103.7943013,,110.0711735
795.1,2227.67,,2265.29,,2328.13,,101.68876,,104.5096446
795.85,1631.67,,1586.29,,1645.13,,97.21880037,,100.8249217
796.6,365.67,,357.29,,381.13,,97.70831624,,104.2278557
797.35,127.67,,131.29,,136.13,,102.8354351,,106.6264588
798.1,90.67,,91.29,,94.13,,100.6837984,,103.8160362
798.85,84.67,,88.29,,91.13,,104.2754222,,107.6296209
799.59,131.67,,134.29,,140.13,,101.989823,,106.4251538
800.34,576.67,,608.29,,630.13,,105.4832053,,109.2704666
801.09,2129.67,,2128.29,,2192.13,,99.93520123,,102.9328488
801.84,2520.67,,2489.29,,2568.13,,98.75509289,,101.8828327
802.59,1191.67,,1152.29,,1196.13,,96.69539386,,100.3742647
803.34,284.67,,292.29,,299.13,,102.6767836,,105.0795658
804.09,112.67,,115.29,,126.13,,102.325375,,111.9463921
804.84,82.67,,82.29,,90.13,,99.54034112,,109.0238297
805.58,73.67,,81.29,,80.13,,110.3434234,,108.768834
806.33,73.67,,78.29,,83.13,,106.2712094,,112.8410479
807.08,81.67,,85.29,,93.13,,104.4324721,,114.0320803
807.83,90.67,,100.29,,103.13,,110.609904,,113.7421418
808.58,119.67,,130.29,,131.13,,108.8744046,,109.5763349
809.33,206.67,,214.29,,228.13,,103.6870373,,110.3837035
810.07,867.67,,910.29,,953.13,,104.9120057,,109.8493667
810.82,3136.67,,3166.29,,3278.13,,100.9443136,,104.5098783
